
2024/12/16 (09:23:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/16 (09:23:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (13:58:53) | ===> btop++ v.1.4.0
2024/12/16 (13:58:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/16 (13:58:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (21:13:25) | ===> btop++ v.1.4.0
2024/12/16 (21:13:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/16 (21:13:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (21:43:40) | ===> btop++ v.1.4.0
2024/12/16 (21:43:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/16 (21:43:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (09:13:47) | ===> btop++ v.1.4.0
2024/12/17 (09:13:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (09:13:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (14:21:09) | ===> btop++ v.1.4.0
2024/12/17 (14:21:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (14:21:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (14:57:59) | ===> btop++ v.1.4.0
2024/12/17 (14:57:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (14:58:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (18:30:16) | ===> btop++ v.1.4.0
2024/12/17 (18:30:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (18:30:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (22:45:24) | ===> btop++ v.1.4.0
2024/12/17 (22:45:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (22:45:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (23:02:00) | ===> btop++ v.1.4.0
2024/12/17 (23:02:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (23:02:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (23:08:18) | ===> btop++ v.1.4.0
2024/12/17 (23:08:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (23:08:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (08:08:40) | ===> btop++ v.1.4.0
2024/12/18 (08:08:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/18 (08:08:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (22:10:26) | ===> btop++ v.1.4.0
2024/12/18 (22:10:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/18 (22:10:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (08:23:23) | ===> btop++ v.1.4.0
2024/12/19 (08:23:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/19 (08:23:23) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/19 (15:17:19) | ERROR: Stall in Runner thread, restarting!

2024/12/19 (15:37:27) | ===> btop++ v.1.4.0
2024/12/19 (15:37:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/19 (15:37:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (17:28:40) | ===> btop++ v.1.4.0
2024/12/19 (17:28:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/19 (17:28:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (21:53:44) | ===> btop++ v.1.4.0
2024/12/19 (21:53:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/19 (21:53:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (22:56:21) | ===> btop++ v.1.4.0
2024/12/19 (22:56:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
